query_system	query_ligand_id	target_system	target_ligand_id	protein_mapping	protein_mapper	similarity	source	metric	mapping
1174c__1__1.A_1.B__1.X	1174c__1__1.X	1pn4__2__1.D__1.K	1pn4__2__1.K	1.A:1.D	foldseek	13		sucos_shape_pocket_qcov	
1168d__1__1.A_1.B__1.X	1168d__1__1.X	5nji__1__1.A__1.B	5nji__1__1.B	1.A:1.A	foldseek	15		sucos_shape_pocket_qcov	
1885d__1__1.B__1.X	1885d__1__1.X	8qrt__1__1.A__1.E	8qrt__1__1.E	1.B:1.A	foldseek	53		sucos_shape_pocket_qcov	
4190a__1__1.A__1.X	4190a__1__1.X	9gs1__1__1.A__1.C	9gs1__1__1.C	1.A:1.A	foldseek	51		sucos_shape_pocket_qcov	
1652a__1__1.A__1.X	1652a__1__1.X	9ccr__1__1.A_1.B_1.D__1.E_1.L	9ccr__1__1.L	1.A:1.A	foldseek	26		sucos_shape_pocket_qcov	
1766a__1__1.A__1.X	1766a__1__1.X	8qs0__2__1.D__1.H	8qs0__2__1.H	1.A:1.D	foldseek	45		sucos_shape_pocket_qcov	
2035b__1__1.B__1.X	2035b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	53		sucos_shape_pocket_qcov	
1860a__1__1.A_1.B__1.X	1860a__1__1.X	5nji__1__1.A__1.B	5nji__1__1.B	1.B:1.A	foldseek	12		sucos_shape_pocket_qcov	
1629b__1__1.B__1.X	1629b__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.B:1.A	foldseek	36		sucos_shape_pocket_qcov	
1329a__1__1.A__1.X	1329a__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.A:1.A	foldseek	53		sucos_shape_pocket_qcov	
4216a__1__1.A__1.X	4216a__1__1.X	8qs0__2__1.C__1.G	8qs0__2__1.G	1.A:1.C	foldseek	65		sucos_shape_pocket_qcov	
1991a__1__1.A__1.X	1991a__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.A:1.A	foldseek	42		sucos_shape_pocket_qcov	
2108a__1__1.A__1.X	2108a__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.A:1.A	foldseek	52		sucos_shape_pocket_qcov	
1358b__1__1.B__1.X	1358b__1__1.X	8p8k__1__1.B__1.D	8p8k__1__1.D	1.B:1.B	foldseek	61		sucos_shape_pocket_qcov	
2032a__1__1.A__1.X	2032a__1__1.X	6vfy__1__1.C__1.F	6vfy__1__1.F	1.A:1.C	foldseek	19		sucos_shape_pocket_qcov	
1290c__1__1.A_1.B__1.X	1290c__1__1.X	5nji__1__1.A__1.B	5nji__1__1.B	1.A:1.A	foldseek	26		sucos_shape_pocket_qcov	
1317b__1__1.A__1.X	1317b__1__1.X	9gs1__1__1.A__1.C	9gs1__1__1.C	1.A:1.A	foldseek	39		sucos_shape_pocket_qcov	
1860b__1__1.A_1.B__1.X	1860b__1__1.X	5nji__1__1.A__1.B	5nji__1__1.B	1.A:1.A	foldseek	12		sucos_shape_pocket_qcov	
1573a__1__1.A__1.X	1573a__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.A:1.A	foldseek	79		sucos_shape_pocket_qcov	
1721b__1__1.B__1.X	1721b__1__1.X	8qs0__1__1.B__1.F	8qs0__1__1.F	1.B:1.B	foldseek	67		sucos_shape_pocket_qcov	
1457b__1__1.B__1.X	1457b__1__1.X	3b7k__1__1.A__1.D	3b7k__1__1.D	1.B:1.A	foldseek	51		sucos_shape_pocket_qcov	
2044b__1__1.B__1.X	2044b__1__1.X	6vfy__1__1.C__1.F	6vfy__1__1.F	1.B:1.C	foldseek	56		sucos_shape_pocket_qcov	
1769b__1__1.B__1.X	1769b__1__1.X	4zv3__1__1.B__1.E	4zv3__1__1.E	1.B:1.B	foldseek	39		sucos_shape_pocket_qcov	
1467b__1__1.B__1.X	1467b__1__1.X	9gs1__1__1.A__1.C	9gs1__1__1.C	1.B:1.A	foldseek	72		sucos_shape_pocket_qcov	
1504b__1__1.B__1.X	1504b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	65		sucos_shape_pocket_qcov	
1184b__1__1.B__1.X	1184b__1__1.X	6vfy__1__1.A__1.D	6vfy__1__1.D	1.B:1.A	foldseek	41		sucos_shape_pocket_qcov	
4059b__1__1.B__1.X	4059b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	40		sucos_shape_pocket_qcov	
1571b__1__1.B__1.X	1571b__1__1.X	8qs0__1__1.B__1.F	8qs0__1__1.F	1.B:1.B	foldseek	54		sucos_shape_pocket_qcov	
1423a__1__1.A__1.X	1423a__1__1.X	4zv3__1__1.B__1.E	4zv3__1__1.E	1.A:1.B	foldseek	53		sucos_shape_pocket_qcov	
1164b__1__1.A_1.B__1.X	1164b__1__1.X	5hmc__1__1.A_2.A__1.B	5hmc__1__1.B	1.B:2.A;1.A:1.A	foldseek	21		sucos_shape_pocket_qcov	
2010a__1__1.A__1.X	2010a__1__1.X	1pn4__1__1.A__1.E_1.F	1pn4__1__1.E	1.A:1.A	foldseek	38		sucos_shape_pocket_qcov	
x411-a__1__1.A__1.X	x411-a__1__1.X	9gs1__1__1.A__1.C	9gs1__1__1.C	1.A:1.A	foldseek	55		sucos_shape_pocket_qcov	
4190b__1__1.B__1.X	4190b__1__1.X	9gs1__1__1.A__1.C	9gs1__1__1.C	1.B:1.A	foldseek	50		sucos_shape_pocket_qcov	
1533a__1__1.A__1.X	1533a__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.A:1.A	foldseek	74		sucos_shape_pocket_qcov	
1917a__1__1.A__1.X	1917a__1__1.X	9grr__1__1.A__1.B	9grr__1__1.B	1.A:1.A	foldseek	56		sucos_shape_pocket_qcov	
1863a__1__1.A_1.B__1.X	1863a__1__1.X	5nji__1__1.A__1.B	5nji__1__1.B	1.A:1.A	foldseek	28		sucos_shape_pocket_qcov	
4155b__1__1.B__1.X	4155b__1__1.X	6x7p__1__1.A_2.A__1.B_1.C_1.D	6x7p__1__1.B	1.B:1.A	foldseek	31		sucos_shape_pocket_qcov	
1866a__1__1.A__1.X	1866a__1__1.X	4rlt__1__1.A_1.B__1.C	4rlt__1__1.C	1.A:1.A	foldseek	38		sucos_shape_pocket_qcov	
1779b__1__1.B__1.X	1779b__1__1.X	8qrt__2__1.C__1.G	8qrt__2__1.G	1.B:1.C	foldseek	30		sucos_shape_pocket_qcov	
1433b__1__1.B__1.X	1433b__1__1.X	8p8k__1__1.B__1.D	8p8k__1__1.D	1.B:1.B	foldseek	52		sucos_shape_pocket_qcov	
1174b__1__1.B__1.X	1174b__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.B:1.A	mmseqs	60		sucos_shape_pocket_qcov	
2047b__1__1.B__1.X	2047b__1__1.X	7svt__2__1.C_1.D__1.K	7svt__2__1.K	1.B:1.C	foldseek	29		sucos_shape_pocket_qcov	
4172b__1__1.B__1.X	4172b__1__1.X	9hly__1__1.B__1.F	9hly__1__1.F	1.B:1.B	foldseek	46		sucos_shape_pocket_qcov	
1762a__1__1.A__1.X	1762a__1__1.X	9gs1__1__1.A__1.C	9gs1__1__1.C	1.A:1.A	foldseek	84		sucos_shape_pocket_qcov	
1384a__1__1.B__1.X	1384a__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	46		sucos_shape_pocket_qcov	
1910b__1__1.A__1.X	1910b__1__1.X	4rlt__1__1.A_1.B__1.C	4rlt__1__1.C	1.A:1.A	foldseek	28		sucos_shape_pocket_qcov	
2047a__1__1.A__1.X	2047a__1__1.X	8qs0__1__1.A__1.E	8qs0__1__1.E	1.A:1.A	foldseek	26		sucos_shape_pocket_qcov	
4068b__1__1.B__1.X	4068b__1__1.X	9gs1__1__1.B__1.E	9gs1__1__1.E	1.B:1.B	foldseek	61		sucos_shape_pocket_qcov	
1735b__1__1.B__1.X	1735b__1__1.X	6vfy__1__1.A__1.D	6vfy__1__1.D	1.B:1.A	foldseek	44		sucos_shape_pocket_qcov	
1537b__1__1.B__1.X	1537b__1__1.X	1pn4__1__1.A__1.E_1.F	1pn4__1__1.E	1.B:1.A	foldseek	33		sucos_shape_pocket_qcov	
1285b__1__1.A__1.X	1285b__1__1.X	4rlu__1__1.A_1.B__1.C	4rlu__1__1.C	1.A:1.A	foldseek	33		sucos_shape_pocket_qcov	
1444b__1__1.B__1.X	1444b__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.B:1.A	foldseek	53		sucos_shape_pocket_qcov	
1952a__1__1.A__1.X	1952a__1__1.X	8qrt__1__1.A__1.E	8qrt__1__1.E	1.A:1.A	foldseek	54		sucos_shape_pocket_qcov	
1180a__1__1.A__1.X	1180a__1__1.X	8p8k__1__1.B__1.D	8p8k__1__1.D	1.A:1.B	foldseek	54		sucos_shape_pocket_qcov	
4079b__1__1.A__1.X	4079b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.A:1.A	foldseek	62		sucos_shape_pocket_qcov	
1463b__1__1.B__1.X	1463b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	45		sucos_shape_pocket_qcov	
4083b__1__1.A__1.X	4083b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.A:1.A	foldseek	57		sucos_shape_pocket_qcov	
1404a__1__1.A__1.X	1404a__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.A:1.A	foldseek	48		sucos_shape_pocket_qcov	
4067b__1__1.B__1.X	4067b__1__1.X	8qs0__1__1.B__1.F	8qs0__1__1.F	1.B:1.B	foldseek	64		sucos_shape_pocket_qcov	
1163b__1__1.B__1.X	1163b__1__1.X	8p8k__1__1.B__1.D	8p8k__1__1.D	1.B:1.B	foldseek	55		sucos_shape_pocket_qcov	
4058a__1__1.A__1.X	4058a__1__1.X	9grr__1__1.A__1.B	9grr__1__1.B	1.A:1.A	foldseek	55		sucos_shape_pocket_qcov	
1913b__1__1.A__1.X	1913b__1__1.X	6vfy__1__1.A__1.D	6vfy__1__1.D	1.A:1.A	foldseek	39		sucos_shape_pocket_qcov	
1236b__1__1.A_1.B__1.X	1236b__1__1.X	5nji__1__1.A__1.B	5nji__1__1.B	1.B:1.A	foldseek	33		sucos_shape_pocket_qcov	
1277a__1__1.A__1.X	1277a__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.A:1.A	foldseek	46		sucos_shape_pocket_qcov	
4198a__1__1.A__1.X	4198a__1__1.X	9gs1__1__1.B__1.E	9gs1__1__1.E	1.A:1.B	foldseek	70		sucos_shape_pocket_qcov	
1329b__1__1.B__1.X	1329b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	53		sucos_shape_pocket_qcov	
1758b__1__1.B__1.X	1758b__1__1.X	4zv3__1__1.B__1.E	4zv3__1__1.E	1.B:1.B	foldseek	46		sucos_shape_pocket_qcov	
1164a__1__1.A_1.B__1.X	1164a__1__1.X	5hmc__1__1.A_2.A__1.B	5hmc__1__1.B	1.A:2.A;1.B:1.A	foldseek	21		sucos_shape_pocket_qcov	
1910a__1__1.A__1.X	1910a__1__1.X	6vfy__1__1.C__1.F	6vfy__1__1.F	1.A:1.C	foldseek	51		sucos_shape_pocket_qcov	
1841a__1__1.A__1.X	1841a__1__1.X	9gs1__1__1.A__1.C	9gs1__1__1.C	1.A:1.A	foldseek	35		sucos_shape_pocket_qcov	
1917b__1__1.B__1.X	1917b__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.B:1.A	foldseek	65		sucos_shape_pocket_qcov	
4024h__1__1.B__1.X	4024h__1__1.X	5t07__1__1.A_1.C_1.D__1.E	5t07__1__1.E	1.B:1.D	foldseek	28		sucos_shape_pocket_qcov	
1263a__1__1.A__1.X	1263a__1__1.X	4moc__1__1.A__1.B	4moc__1__1.B	1.A:1.A	foldseek	60		sucos_shape_pocket_qcov	
1974a__1__1.A__1.X	1974a__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.A:1.A	foldseek	55		sucos_shape_pocket_qcov	
1234b__1__1.B__1.X	1234b__1__1.X	4rlu__1__1.A_1.B__1.C	4rlu__1__1.C	1.B:1.A	foldseek	30		sucos_shape_pocket_qcov	
2025b__1__1.B__1.X	2025b__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.B:1.A	foldseek	42		sucos_shape_pocket_qcov	
x4004-b__1__1.B__1.X	x4004-b__1__1.X	9hmt__1__1.A__1.B	9hmt__1__1.B	1.B:1.A	foldseek	29		sucos_shape_pocket_qcov	
1791b__1__1.B__1.X	1791b__1__1.X	6vfy__1__1.A__1.D	6vfy__1__1.D	1.B:1.A	foldseek	44		sucos_shape_pocket_qcov	
4048d__1__1.A__1.X	4048d__1__1.X	8qs0__1__1.B__1.F	8qs0__1__1.F	1.A:1.B	foldseek	64		sucos_shape_pocket_qcov	
1142b__1__1.A_1.B__1.X	1142b__1__1.X	5tz6__1__1.A__1.C	5tz6__1__1.C	1.B:1.A	foldseek	31		sucos_shape_pocket_qcov	
1351a__1__1.A__1.X	1351a__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.A:1.A	foldseek	55		sucos_shape_pocket_qcov	
1437b__1__1.B__1.X	1437b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	53		sucos_shape_pocket_qcov	
2004b__1__1.B__1.X	2004b__1__1.X	8p8k__1__1.B__1.D	8p8k__1__1.D	1.B:1.B	foldseek	57		sucos_shape_pocket_qcov	
1180d__1__1.B__1.X	1180d__1__1.X	8p8k__1__1.B__1.D	8p8k__1__1.D	1.B:1.B	foldseek	54		sucos_shape_pocket_qcov	
1974b__1__1.B__1.X	1974b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	58		sucos_shape_pocket_qcov	
2053b__1__1.B__1.X	2053b__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.B:1.A	foldseek	51		sucos_shape_pocket_qcov	
1201b__1__1.B__1.X	1201b__1__1.X	4rlw__1__1.A_1.B__1.C	4rlw__1__1.C	1.B:1.A	foldseek	31		sucos_shape_pocket_qcov	
1433c__1__1.A_1.B__1.X	1433c__1__1.X	5nji__1__1.A__1.B	5nji__1__1.B	1.A:1.A	foldseek	26		sucos_shape_pocket_qcov	
1657a__1__1.A__1.X	1657a__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.A:1.A	foldseek	54		sucos_shape_pocket_qcov	
4176a__1__1.A__1.X	4176a__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.A:1.A	foldseek	30		sucos_shape_pocket_qcov	
1545b__1__1.B__1.X	1545b__1__1.X	9hly__1__1.A__1.C	9hly__1__1.C	1.B:1.A	foldseek	25		sucos_shape_pocket_qcov	
2062b__1__1.B__1.X	2062b__1__1.X	8p8k__1__1.B__1.D	8p8k__1__1.D	1.B:1.B	foldseek	75		sucos_shape_pocket_qcov	
4034b__1__1.B__1.X	4034b__1__1.X	9gs1__1__1.A__1.C	9gs1__1__1.C	1.B:1.A	foldseek	48		sucos_shape_pocket_qcov	
1536a__1__1.A__1.X	1536a__1__1.X	4zv3__1__1.A__1.D	4zv3__1__1.D	1.A:1.A	foldseek	47		sucos_shape_pocket_qcov	
1763b__1__1.B__1.X	1763b__1__1.X	6vfy__1__1.A__1.D	6vfy__1__1.D	1.B:1.A	foldseek	41		sucos_shape_pocket_qcov	
1911a__1__1.A__1.X	1911a__1__1.X	8qs0__2__1.D__1.H	8qs0__2__1.H	1.A:1.D	foldseek	51		sucos_shape_pocket_qcov	
1463a__1__1.A__1.X	1463a__1__1.X	8p8k__1__1.A__1.C	8p8k__1__1.C	1.A:1.A	foldseek	45		sucos_shape_pocket_qcov	
1918b__1__1.B__1.X	1918b__1__1.X	8qs0__2__1.C__1.G	8qs0__2__1.G	1.B:1.C	foldseek	59		sucos_shape_pocket_qcov	
1979a__1__1.A__1.X	1979a__1__1.X	6x7n__1__1.A_2.A__1.B	6x7n__1__1.B	1.A:1.A	foldseek	36		sucos_shape_pocket_qcov	
