query_system	query_ligand_id	target_system	target_ligand_id	protein_mapping	protein_mapper	similarity	source	metric	mapping
denv2-rdrp-o1075a__1__1.A__1.X	denv2-rdrp-o1075a__1__1.X	2d41__2__1.B__1.E_1.F	2d41__2__1.E	1.A:1.B	foldseek	20		sucos_shape_pocket_qcov	
zikv-rdrp-o0105a__1__1.A__1.X	zikv-rdrp-o0105a__1__1.X	4wtd__1__1.C__1.A_1.B_1.D_1.E_1.F	4wtd__1__1.A	1.A:1.C	foldseek	32		sucos_shape_pocket_qcov	
zikv-rdrp-x0386a__1__1.A__1.X	zikv-rdrp-x0386a__1__1.X	6xd0__1__1.A__1.I	6xd0__1__1.I	1.A:1.A	foldseek	39		sucos_shape_pocket_qcov	
denv2-rdrp-x0135a__1__1.A__1.X	denv2-rdrp-x0135a__1__1.X	7oma__1__1.A_1.B__1.E_1.F_1.P_1.Q	7oma__1__1.F	1.A:1.B	foldseek	21		sucos_shape_pocket_qcov	
zikv-rdrp-x0501a__1__1.A__1.X	zikv-rdrp-x0501a__1__1.X	4j04__1__1.A__1.D	4j04__1__1.D	1.A:1.A	foldseek	12		sucos_shape_pocket_qcov	
3vws-a__1__1.A__1.X	3vws-a__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.D	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
denv2-rdrp-o1010a__1__1.A__1.X	denv2-rdrp-o1010a__1__1.X	5k5m__1__1.A__1.D	5k5m__1__1.D	1.A:1.A	foldseek	35		sucos_shape_pocket_qcov	
denv2-rdrp-x0249a__1__1.A__1.X	denv2-rdrp-x0249a__1__1.X	5hmw__1__1.A__1.E	5hmw__1__1.E	1.A:1.A	foldseek	49		sucos_shape_pocket_qcov	
zikv-rdrp-x0501b__1__1.A__1.X	zikv-rdrp-x0501b__1__1.X	4nru__5__1.E__1.P	4nru__5__1.P	1.A:1.E	foldseek	15		sucos_shape_pocket_qcov	
zikv-rdrp-x1090a__1__1.A__1.X	zikv-rdrp-x1090a__1__1.X	6xd0__1__1.A__1.I	6xd0__1__1.I	1.A:1.A	foldseek	37		sucos_shape_pocket_qcov	
5i3q-a__1__1.A__1.X	5i3q-a__1__1.X	5i3q__1__1.A__1.D	5i3q__1__1.D	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
denv2-rdrp-x0249b__1__1.A__1.X	denv2-rdrp-x0249b__1__1.X	5hmw__1__1.A__1.E	5hmw__1__1.E	1.A:1.A	foldseek	43		sucos_shape_pocket_qcov	
denv2-rdrp-o0639a__1__1.A__1.X	denv2-rdrp-o0639a__1__1.X	5i3p__1__1.A__1.D	5i3p__1__1.D	1.A:1.A	foldseek	39		sucos_shape_pocket_qcov	
6xd1-a__1__1.A__1.X	6xd1-a__1__1.X	6xd1__1__1.A__1.D	6xd1__1__1.D	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
denv2-rdrp-x2054a__1__1.A__1.X	denv2-rdrp-x2054a__1__1.X	5i3q__1__1.A__1.D	5i3q__1__1.D	1.A:1.A	foldseek	36		sucos_shape_pocket_qcov	
zikv-rdrp-x0835a__1__1.A__1.X	zikv-rdrp-x0835a__1__1.X	6xd0__1__1.A__1.I	6xd0__1__1.I	1.A:1.A	foldseek	16		sucos_shape_pocket_qcov	
denv2-rdrp-x1046a__1__1.A__1.X	denv2-rdrp-x1046a__1__1.X	3kmq__1__1.A__1.B_1.C	3kmq__1__1.B	1.A:1.A	foldseek	27		sucos_shape_pocket_qcov	
zikv-rdrp-o0360a__1__1.A__1.X	zikv-rdrp-o0360a__1__1.X	4ju1__2__1.B__1.H	4ju1__2__1.H	1.A:1.B	foldseek	33		sucos_shape_pocket_qcov	
zikv-rdrp-x0437b__1__1.A__1.X	zikv-rdrp-x0437b__1__1.X	2e9z__1__1.C__1.A_1.B_1.D_1.E_1.F_1.G	2e9z__1__1.A	1.A:1.C	foldseek	20		sucos_shape_pocket_qcov	
zikv-rdrp-x0903c__1__1.A__1.X	zikv-rdrp-x0903c__1__1.X	3gnv__2__1.B__1.E	3gnv__2__1.E	1.A:1.B	foldseek	27		sucos_shape_pocket_qcov	
zikv-rdrp-x0900c__1__1.A__1.X	zikv-rdrp-x0900c__1__1.X	6xd1__1__1.A__1.D	6xd1__1__1.D	1.A:1.A	mmseqs	20		sucos_shape_pocket_qcov	
zikv-rdrp-x0342a__1__1.A__1.X	zikv-rdrp-x0342a__1__1.X	3nl0__1__1.A__1.B_1.C_1.D_1.E	3nl0__1__1.B	1.A:1.A	foldseek	20		sucos_shape_pocket_qcov	
zikv-rdrp-x1722a__1__1.A__1.X	zikv-rdrp-x1722a__1__1.X	4jy0__2__1.B__1.D	4jy0__2__1.D	1.A:1.B	foldseek	15		sucos_shape_pocket_qcov	
zikv-rdrp-x0111b__1__1.A__1.X	zikv-rdrp-x0111b__1__1.X	4j04__1__1.A__1.D	4j04__1__1.D	1.A:1.A	foldseek	12		sucos_shape_pocket_qcov	
6h80-a__1__1.A__1.X	6h80-a__1__1.X	6h80__1__1.A__1.B	6h80__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
zikv-rdrp-x0881a__1__1.A__1.X	zikv-rdrp-x0881a__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.D	1.A:1.A	foldseek	57		sucos_shape_pocket_qcov	
denv2-rdrp-x0162a__1__1.A__1.X	denv2-rdrp-x0162a__1__1.X	5hmw__1__1.A__1.E	5hmw__1__1.E	1.A:1.A	foldseek	44		sucos_shape_pocket_qcov	
denv2-rdrp-x1192a__1__1.A__1.X	denv2-rdrp-x1192a__1__1.X	4lq3__1__1.A__1.C_1.D	4lq3__1__1.C	1.A:1.A	foldseek	13		sucos_shape_pocket_qcov	
denv2-rdrp-x0253a__1__1.A__1.X	denv2-rdrp-x0253a__1__1.X	5hmw__1__1.A__1.E	5hmw__1__1.E	1.A:1.A	foldseek	32		sucos_shape_pocket_qcov	
zikv-rdrp-x1024a__1__1.A__1.X	zikv-rdrp-x1024a__1__1.X	4j04__1__1.A__1.D	4j04__1__1.D	1.A:1.A	foldseek	14		sucos_shape_pocket_qcov	
zikv-rdrp-x5542a__1__1.A__1.X	zikv-rdrp-x5542a__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.D	1.A:1.A	foldseek	45		sucos_shape_pocket_qcov	
6izx-b__1__1.A__1.X	6izx-b__1__1.X	6izx__1__1.A__1.N	6izx__1__1.N	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
zikv-rdrp-x0764a__1__1.A__1.X	zikv-rdrp-x0764a__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.D	1.A:1.A	foldseek	42		sucos_shape_pocket_qcov	
denv2-rdrp-x0615a__1__1.A__1.X	denv2-rdrp-x0615a__1__1.X	3qgg__2__1.B__1.I	3qgg__2__1.I	1.A:1.B	foldseek	37		sucos_shape_pocket_qcov	
denv2-rdrp-x0963a__1__1.A__1.X	denv2-rdrp-x0963a__1__1.X	6xd1__1__1.A__1.D	6xd1__1__1.D	1.A:1.A	foldseek	39		sucos_shape_pocket_qcov	
zikv-rdrp-x0927a__1__1.A__1.X	zikv-rdrp-x0927a__1__1.X	3ske__2__1.B__1.E	3ske__2__1.E	1.A:1.B	foldseek	16		sucos_shape_pocket_qcov	
zikv-rdrp-x0418a__1__1.A__1.X	zikv-rdrp-x0418a__1__1.X	4j04__1__1.A__1.D	4j04__1__1.D	1.A:1.A	foldseek	10		sucos_shape_pocket_qcov	
denv2-rdrp-x1351a__1__1.A__1.X	denv2-rdrp-x1351a__1__1.X	4lq3__1__1.A__1.B_1.E	4lq3__1__1.E	1.A:1.A	foldseek	25		sucos_shape_pocket_qcov	
zikv-rdrp-x0397a__1__1.A__1.X	zikv-rdrp-x0397a__1__1.X	3hkw__1__1.A__1.D	3hkw__1__1.D	1.A:1.A	foldseek	15		sucos_shape_pocket_qcov	
zikv-rdrp-x0881b__1__1.A__1.X	zikv-rdrp-x0881b__1__1.X	4j04__2__1.B__1.G_1.H	4j04__2__1.G	1.A:1.B	foldseek	13		sucos_shape_pocket_qcov	
zikv-rdrp-x5220b__1__1.A__1.X	zikv-rdrp-x5220b__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.D	1.A:1.A	mmseqs	66		sucos_shape_pocket_qcov	
denv2-rdrp-x0323a__1__1.A__1.X	denv2-rdrp-x0323a__1__1.X	2xi3__1__1.A__1.E	2xi3__1__1.E	1.A:1.A	foldseek	29		sucos_shape_pocket_qcov	
zikv-rdrp-x0668a__1__1.A__1.X	zikv-rdrp-x0668a__1__1.X	4ju1__1__1.A__1.D	4ju1__1__1.D	1.A:1.A	foldseek	16		sucos_shape_pocket_qcov	
denv2-rdrp-x0825b__1__1.A__1.X	denv2-rdrp-x0825b__1__1.X	4nru__5__1.E__1.P	4nru__5__1.P	1.A:1.E	foldseek	14		sucos_shape_pocket_qcov	
5f3t-a__1__1.A__1.X	5f3t-a__1__1.X	5f3t__1__1.A__1.D	5f3t__1__1.D	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
6h9r-a__1__1.A__1.X	6h9r-a__1__1.X	6h9r__1__1.A__1.B	6h9r__1__1.B	1.A:1.A	foldseek	100		sucos_shape_pocket_qcov	
zikv-rdrp-x0375a__1__1.A__1.X	zikv-rdrp-x0375a__1__1.X	2d41__1__1.A__1.C_1.D	2d41__1__1.C	1.A:1.A	foldseek	25		sucos_shape_pocket_qcov	
zikv-rdrp-x0136d__1__1.A__1.X	zikv-rdrp-x0136d__1__1.X	2dxs__2__1.B__1.D	2dxs__2__1.D	1.A:1.B	foldseek	21		sucos_shape_pocket_qcov	
denv2-rdrp-x0411b__1__1.A__1.X	denv2-rdrp-x0411b__1__1.X	1wne__1__1.C__1.A_1.B	1wne__1__1.A	1.A:1.C	foldseek	43		sucos_shape_pocket_qcov	
zikv-rdrp-x0486b__1__1.A__1.X	zikv-rdrp-x0486b__1__1.X	4jty__2__1.B__1.G	4jty__2__1.G	1.A:1.B	foldseek	28		sucos_shape_pocket_qcov	
denv2-rdrp-x1217a__1__1.A__1.X	denv2-rdrp-x1217a__1__1.X	4lq3__1__1.A__1.C_1.D	4lq3__1__1.C	1.A:1.A	foldseek	16		sucos_shape_pocket_qcov	
zikv-rdrp-x1331a__1__1.A__1.X	zikv-rdrp-x1331a__1__1.X	3udl__4__1.D__1.H	3udl__4__1.H	1.A:1.D	foldseek	34		sucos_shape_pocket_qcov	
zikv-rdrp-x0136a__1__1.A__1.X	zikv-rdrp-x0136a__1__1.X	3vws__1__1.A__1.D_1.E	3vws__1__1.D	1.A:1.A	foldseek	45		sucos_shape_pocket_qcov	
zikv-rdrp-x5555b__1__1.A__1.X	zikv-rdrp-x5555b__1__1.X	2e9r__1__1.C__1.A_1.B_1.E	2e9r__1__1.E	1.A:1.C	foldseek	17		sucos_shape_pocket_qcov	
zikv-rdrp-x0628a__1__1.A__1.X	zikv-rdrp-x0628a__1__1.X	6xd0__1__1.A__1.I	6xd0__1__1.I	1.A:1.A	foldseek	51		sucos_shape_pocket_qcov	
